Datetime,Temperature,Humidity,Count,y,weekend,lag24,MA4,Diff1,Diff24,Seasonal24,Seasonal168,Active_1,Active_2
2018-06-12 00:00:00,18.0,94.0,470,385.0,0,353.0,904.5,86.0,-448.0,-538.4791312672379,-677.1332872732427,False,False
2018-06-12 01:00:00,17.7,92.0,454,206.0,0,232.0,606.25,-16.0,-101.0,-718.8905896005712,-789.5355690192745,False,False
2018-06-12 02:00:00,17.7,87.0,385,144.0,0,194.0,423.25,-69.0,32.0,-849.2747041839046,-899.1218785430839,False,False
2018-06-12 03:00:00,17.5,87.0,206,296.0,0,324.0,378.75,-179.0,-26.0,-822.2816486283489,-847.3004499716554,False,False
2018-06-12 04:00:00,17.5,84.0,144,740.0,0,807.0,297.25,-62.0,-50.0,-587.2530027950157,-535.5350729875283,False,False
2018-06-12 05:00:00,17.2,87.0,296,1573.0,0,1629.0,257.75,152.0,-28.0,-142.65881876723805,40.14101828231284,False,False
2018-06-12 06:00:00,16.7,85.0,740,2495.0,0,2375.0,346.5,444.0,-67.0,389.4566326216509,651.0671095521542,False,False
2018-06-12 07:00:00,17.1,77.0,1573,1317.0,0,1307.0,688.25,833.0,-56.0,-136.8037840450158,-154.10650155895692,False,True
2018-06-12 08:00:00,19.0,67.0,2495,971.0,0,992.0,1276.0,922.0,120.0,-332.36281182279356,-438.8932079081633,False,True
2018-06-12 09:00:00,21.1,60.0,1317,1092.0,0,1107.0,1531.25,-1178.0,10.0,-262.1983152950158,-372.36791028911574,True,False
2018-06-12 10:00:00,22.1,53.0,971,1202.0,0,1204.0,1589.0,-346.0,-21.0,-157.2005685456068,-300.38576743197297,True,False
2018-06-12 11:00:00,22.9,54.0,1092,1215.0,0,1033.0,1468.75,121.0,-15.0,-134.58753663071317,-285.8510452097507,True,False
2018-06-12 12:00:00,24.0,51.0,1202,1246.0,0,1075.0,1145.5,110.0,-2.0,-126.54466946168247,-270.8743587018141,True,False
2018-06-12 13:00:00,25.7,46.0,1215,1427.0,0,1240.0,1120.0,13.0,182.0,-11.249964600571335,-201.29251346371893,True,False
2018-06-12 14:00:00,25.6,45.0,1246,1714.0,0,1220.0,1188.75,31.0,171.0,164.29951456609533,-7.942315051020525,True,False
2018-06-12 15:00:00,26.2,42.0,1427,2270.0,0,1475.0,1272.5,181.0,187.0,530.206632621651,371.39399447278896,True,False
2018-06-12 16:00:00,26.2,47.0,1714,3404.0,0,1491.0,1400.5,287.0,494.0,1133.7665284549844,1154.2754428854873,True,False
2018-06-12 17:00:00,26.4,47.0,2270,2873.0,0,873.0,1664.25,556.0,795.0,868.6627958160955,702.0527246315193,False,True
2018-06-12 18:00:00,24.9,53.0,3404,2579.0,0,1280.0,2203.75,1134.0,1913.0,808.886320121651,592.2714746315193,False,True
2018-06-12 19:00:00,23.1,58.0,2873,2505.0,0,1647.0,2565.25,-531.0,2000.0,759.977899982762,659.8146293934241,False,True
2018-06-12 20:00:00,21.6,62.0,2579,2309.0,0,1117.0,2781.5,-294.0,1299.0,564.7743409549843,448.63655399659865,False,True
2018-06-12 21:00:00,20.6,70.0,2505,1657.0,0,384.0,2840.25,-74.0,858.0,118.2526395660953,-32.7434063208616,False,False
2018-06-12 22:00:00,20.0,70.0,2309,1274.0,0,470.0,2566.5,-196.0,1192.0,-161.33460001723805,-295.93437854308377,False,False
2018-06-12 23:00:00,19.5,72.0,1657,1088.0,0,454.0,2262.5,-652.0,1273.0,-357.16315904501585,-484.1804102891155,False,False
2018-06-13 00:00:00,19.3,76.0,1274,847.0,0,385.0,1936.25,-383.0,804.0,-538.4791312672379,-650.3073944160998,False,False
2018-06-13 01:00:00,18.9,77.0,1088,591.0,0,206.0,1582.0,-186.0,634.0,-718.8905896005712,-786.7210848922903,False,False
2018-06-13 02:00:00,18.4,75.0,847,421.0,0,144.0,1216.5,-241.0,462.0,-849.2747041839046,-883.2260452097505,False,False
